estado;cidade;bairro;rua;cep;numero;latitude;longitude
Sao Paulo;Sao Paulo;Centro;Rua Florencio de Abreu  ;1029901;120;-23.542723;-46.6332583
Sao Paulo;Sao Paulo;Consolacao;Angelica     ;1227200;274;-23.5475983;-46.6587135
Sao Paulo;Sao Paulo;Sumare;Cardoso de Almeida   ;1251000;163;-23.544344;-46.6733857
Sao Paulo;Sao Paulo;Sumare;Antonina     ;1255010;217;-23.5474499;-46.6817876
Sao Paulo;Sao Paulo;Bela Vista;Sao Miguel    ;1308040;53;-23.5279687;-46.3963275
Sao Paulo;Sao Paulo;Bela Vista;Avenida Paulista    ;1311914;295;-23.5668075;-46.6506635
Sao Paulo;Sao Paulo;Bela Vista;Alameda Rio Claro   ;1332906;67;-23.5612732;-46.6528098
Sao Paulo;Sao Paulo;Cerqueira Cesar;Rua da Consolacao   ;1416902;96;-23.5594957;-46.6670544
Sao Paulo;Sao Paulo;Cerqueira Cesar;das Estrelas Novas   ;1426040;247;-23.5681711;-46.6636719
Sao Paulo;Sao Paulo;Centro;Doutor Joao Mendes   ;1501001;295;-23.5520321;-46.6342435
Sao Paulo;Sao Paulo;Cambuci;Heitor Peixoto    ;1543000;228;-23.5751117;-46.6230726
Sao Paulo;Sao Paulo;Jardim da Gloria;Sao Joao Del Rei  ;1546120;124;-23.5748054;-46.6226952
Sao Paulo;Sao Paulo;Carandiru;Conceicao     ;2072001;266;-23.5006657;-46.604656
Sao Paulo;Sao Paulo;Vila Isolina Mazzei;Articura     ;2084150;67;-23.4948976;-46.5995672
Sao Paulo;Sao Paulo;Vila Maria Baixa;Prefeito Milton Improta   ;2119020;65;-23.5133951;-46.5928896
Sao Paulo;Sao Paulo;Jardim Japao;Manuel Lainez    ;2123005;72;-23.5140619;-46.5808665
Sao Paulo;Sao Paulo;Vila Maria Alta;Hiroshima     ;2131040;227;-23.5042516;-46.5817681
Sao Paulo;Sao Paulo;Vila Sabrina;Lourenco Billis    ;2138000;246;-23.4891721;-46.5744147
Sao Paulo;Sao Paulo;Vila Sabrina;Antionha     ;2140030;202;-23.4882706;-46.5721108
Sao Paulo;Sao Paulo;Parque Novo Mundo;Claudio Leonardi    ;2147015;155;-23.4994499;-46.56512
Sao Paulo;Sao Paulo;Parque Novo Mundo;Joao de Lara da Cunha ;2190080;191;-23.5091613;-46.5631782
Sao Paulo;Sao Paulo;Vila Gustavo;Alipio de Sousa   ;2201020;227;-23.485488;-46.5916258
Sao Paulo;Sao Paulo;Vila Medeiros;Carlos Alberto Luiz   ;2207080;49;-23.4860622;-46.586801
